sequence,type,timestamp,instrument,side,qty,price,strength
0,Market,0,1,0,0,100,0
1,Market,1,1,0,0,101,0
2,Market,2,1,0,0,102,0
3,Market,3,1,0,0,101.5,0
4,Market,4,1,0,0,100.5,0
5,Signal,4,1,1,0,0,1
6,Order,4,1,1,10,0,0
7,Fill,4,1,1,5,100.5201,0
8,Fill,4,1,1,5,100.5201,0
9,Market,5,1,0,0,99.5,0
10,Signal,5,1,-1,0,0,1
11,Order,5,1,-1,10,0,0
12,Fill,5,1,-1,5,99.480099999999993,0
13,Fill,5,1,-1,5,99.480099999999993,0
14,Market,6,1,0,0,100,0
15,Market,7,1,0,0,101,0
16,Market,8,1,0,0,103,0
17,Signal,8,1,1,0,0,1
18,Order,8,1,1,10,0,0
19,Fill,8,1,1,5,103.0206,0
20,Fill,8,1,1,5,103.0206,0
21,Market,9,1,0,0,104,0
22,Market,10,1,0,0,103,0
23,Market,11,1,0,0,102,0
24,Market,12,1,0,0,101,0
25,Signal,12,1,-1,0,0,1
26,Order,12,1,-1,10,0,0
27,Fill,12,1,-1,5,100.9798,0
28,Fill,12,1,-1,5,100.9798,0
29,Market,13,1,0,0,102.5,0
30,Market,14,1,0,0,104.5,0
31,Signal,14,1,1,0,0,1
32,Order,14,1,1,10,0,0
33,Fill,14,1,1,5,104.5209,0
34,Fill,14,1,1,5,104.5209,0
35,Market,15,1,0,0,105,0
36,Market,16,1,0,0,104,0
37,Market,17,1,0,0,103.5,0
38,Market,18,1,0,0,104.2,0
39,Signal,18,1,-1,0,0,1
40,Order,18,1,-1,10,0,0
41,Fill,18,1,-1,5,104.17916,0
42,Fill,18,1,-1,5,104.17916,0
43,Market,19,1,0,0,105.3,0
